year,month,month_name,total_payment,prev_month_tot_payment,percent_increase
2017,1,January,138488.04,0,
2017,2,February,291908.01,138488.04,110.78
2017,3,March,449863.6,291908.01,54.11
2017,4,April,417788.03,449863.6,-7.13
2017,5,May,592918.82,417788.03,41.92
2017,6,June,511276.38,592918.82,-13.77
2017,7,July,592382.92,511276.38,15.86
2017,8,August,674396.32,592382.92,13.84
2018,1,January,1115004.18,0,
2018,2,February,992463.34,1115004.18,-10.99
2018,3,March,1159652.12,992463.34,16.85
2018,4,April,1160785.48,1159652.12,0.1
2018,5,May,1153982.15,1160785.48,-0.59
2018,6,June,1023880.5,1153982.15,-11.27
2018,7,July,1066540.75,1023880.5,4.17
2018,8,August,1022425.32,1066540.75,-4.14
